Year,Country
2012,Argentina
2012,Argentina
2012,Australia
2012,Australia
2012,Chile
2012,Chile
2012,Chile
2012,China
2012,China
2012,China
2012,France
2012,France
2012,France
2012,France
2012,France
2012,France
2012,France
2012,France
2012,Germany
2012,Germany
2012,Italy
2012,Italy
2012,Italy
2012,Italy
2012,Italy
2012,Italy
2012,Italy
2012,Italy
2012,Italy
2012,South Africa
2012,South Africa
2012,Spain
2012,Spain
2012,Spain
2012,Spain
2012,Spain
2012,Spain
2012,United States
2012,United States
2012,United States
2012,United States
2013,Argentina
2013,Argentina
2013,Argentina
2013,Australia
2013,Australia
2013,Chile
2013,Chile
2013,Chile
2013,China
2013,China
2013,France
2013,France
2013,France
2013,France
2013,France
2013,France
2013,France
2013,France
2013,Germany
2013,Germany
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,Italy
2013,South Africa
2013,South Africa
2013,Spain
2013,Spain
2013,Spain
2013,Spain
2013,Spain
2013,Spain
2013,Spain
2013,Spain
2013,Spain
2013,United States
2013,United States
2013,United States
2013,United States
2013,United States
2014,Argentina
2014,Argentina
2014,Argentina
2014,Australia
2014,Australia
2014,Chile
2014,Chile
2014,China
2014,China
2014,France
2014,France
2014,France
2014,France
2014,France
2014,France
2014,France
2014,France
2014,France
2014,Germany
2014,Germany
2014,Italy
2014,Italy
2014,Italy
2014,Italy
2014,Italy
2014,Italy
2014,Italy
2014,Italy
2014,Italy
2014,South Africa
2014,South Africa
2014,Spain
2014,Spain
2014,Spain
2014,Spain
2014,Spain
2014,Spain
2014,Spain
2014,Spain
2014,United States
2014,United States
2014,United States
2014,United States
2014,United States
2015,Argentina
2015,Argentina
2015,Argentina
2015,Australia
2015,Australia
2015,Chile
2015,Chile
2015,Chile
2015,China
2015,China
2015,France
2015,France
2015,France
2015,France
2015,France
2015,France
2015,France
2015,France
2015,France
2015,Germany
2015,Germany
2015,Italy
2015,Italy
2015,Italy
2015,Italy
2015,Italy
2015,Italy
2015,Italy
2015,Italy
2015,Italy
2015,Italy
2015,South Africa
2015,South Africa
2015,Spain
2015,Spain
2015,Spain
2015,Spain
2015,Spain
2015,Spain
2015,Spain
2015,Spain
2015,United States
2015,United States
2015,United States
2015,United States
2016,Argentina
2016,Argentina
2016,Australia
2016,Australia
2016,Australia
2016,Chile
2016,Chile
2016,China
2016,China
2016,France
2016,France
2016,France
2016,France
2016,France
2016,France
2016,France
2016,France
2016,France
2016,Germany
2016,Germany
2016,Italy
2016,Italy
2016,Italy
2016,Italy
2016,Italy
2016,Italy
2016,Italy
2016,Italy
2016,Italy
2016,Italy
2016,South Africa
2016,South Africa
2016,Spain
2016,Spain
2016,Spain
2016,Spain
2016,Spain
2016,Spain
2016,Spain
2016,Spain
2016,United States
2016,United States
2016,United States
2016,United States
2016,United States