Country,beer_servings,spirit_servings,wine_servings,Total,Population,Normalised 
Afghanistan,0,0,0,0,39074280,0
Bangladesh,0,0,0,0,164972348,0
China,79,192,8,5,1440297825,0
North Korea,0,0,0,0,25798588,0
Egypt,6,4,1,0.2,102659126,0
India,9,114,0,2.2,1382345085,0
Indonesia,5,1,0,0.1,274021604,0
Iran,0,0,0,0,84176929,0
Iraq,9,3,0,0.2,40372771,0
Kuwait,0,0,0,0,4281320,0
Libya,0,0,0,0,6887247,0
Maldives,0,0,0,0,542151,0
Marshall Islands,0,0,0,0,59259,0
Mauritania,0,0,0,0,4669775,0
Monaco,0,0,0,0,39290,0
Myanmar,5,1,0,0.1,54473253,0
Niger,3,2,1,0.1,24346468,0
Pakistan,0,0,0,0,221612785,0
San Marino,0,0,0,0,33944,0
Saudi Arabia,0,5,0,0.1,34905942,0
Somalia,0,0,0,0,15965848,0
Yemen,6,0,0,0.1,29935468,0
Ethiopia,20,3,0,0.7,115434444,0
Malaysia,13,4,0,0.3,32436963,0
Morocco,12,6,10,0.5,36985624,0
Nepal,5,6,0,0.2,29225196,0
Algeria,25,0,14,0.7,43984569,0
Chad,15,1,1,0.4,16502877,0
Guinea,9,0,2,0.2,13191279,0
Senegal,9,1,7,0.3,16816539,0
Turkey,51,22,7,1.4,84495243,0
Vietnam,111,2,1,2,97490013,0
Brazil,245,145,16,7.2,212821986,0
DR Congo,32,3,1,2.3,90003954,0
Kenya,58,22,2,1.8,53968739,0
Madagascar,26,15,4,0.8,27808395,0
Mali,5,1,1,0.6,20346106,0
Tajikistan,2,15,0,0.3,9573310,0
United States of America,249,158,84,8.7,331341050,0
Mexico,238,68,5,5.5,129166028,0
Mozambique,47,18,5,1.3,31398811,0
Nigeria,42,5,2,9.1,206984347,0
Philippines,71,186,1,4.6,109830324,0
Sudan,8,13,0,1.7,44019263,0
Jordan,6,21,1,0.5,10220604,0
Ghana,31,3,10,1.8,31181428,0
Japan,77,202,16,7,126407422,0
Syria,5,35,16,1,17571053,0
Uzbekistan,25,101,8,2.4,33551824,0
Colombia,159,76,3,4.2,50976248,0
Malawi,8,11,1,1.5,19211425,0
Russia,247,326,73,11.5,145945524,0
Timor-Leste,1,1,4,0.1,1322667,0
Benin,34,4,13,1.1,12175480,0
Thailand,99,258,1,6.4,69830779,0
Tanzania,36,6,1,5.7,60012400,0
Sri Lanka,16,104,0,2.2,21428970,0
Comoros,1,3,1,0.1,872695,0
Italy,85,42,237,6.5,60446035,0
Tunisia,51,3,20,1.3,11839918,0
Guatemala,53,69,2,2.2,17971382,0
Azerbaijan,21,46,5,1.3,10154978,0
Cambodia,57,65,1,2.2,16758448,0
Germany,346,117,175,11.3,83830972,0
Eritrea,18,0,0,0.5,3554797,0
Oman,22,16,1,0.7,5128058,0
South Africa,225,76,81,8.2,59436725,0
Zambia,32,19,4,2.5,18468257,0
Cote d'Ivoire,37,1,7,4,26486282,0
United Kingdom,219,126,195,10.4,67948282,0
Togo,36,2,19,1.3,8310934,0
Papua New Guinea,44,39,1,1.5,8975531,0
Angola,217,57,45,5.9,33032075,0
Argentina,193,25,221,8.3,45267449,0
France,127,151,370,11.8,65298930,0
Peru,163,160,21,6.1,33050211,0
South Korea,140,16,9,9.8,51276977,0
Burkina Faso,25,7,7,4.3,20997293,0
Ukraine,206,237,45,8.9,43686577,0
Spain,284,157,112,10,46757980,0
Cameroon,147,1,4,5.8,26655083,0
Canada,240,122,100,8.2,37799407,0
Ecuador,162,74,3,4.2,17688599,0
Singapore,60,12,11,1.5,5858322,0
Venezuela,333,100,3,7.7,28421581,0
Lebanon,20,55,31,1.9,6819976,0
United Arab Emirates,16,135,5,2.8,9910892,0
Israel,63,69,9,2.5,8678517,0
Poland,343,215,56,10.9,37839255,0
Honduras,69,98,2,3,9931333,0
Dem. Rep. Congo,76,1,9,1.7,5540555,0
Qatar,1,42,7,0.9,2889284,0
Bolivia,167,41,8,3.8,11700207,0
Zimbabwe,64,18,4,4.7,14899771,0
El Salvador,52,69,2,2.2,6491923,0
Kazakhstan,124,246,12,6.8,18815231,0
Turkmenistan,19,71,32,2.2,6046292,0
Central African Rep.,17,2,1,1.8,4843954,0
Cuba,93,137,5,4.2,11325391,0
Kyrgyzstan,31,97,6,2.4,6542426,0
Chile,130,124,172,7.6,19144605,0
Australia,261,72,212,10.4,25550683,0
Bhutan,23,0,0,0.4,773069,1
Haiti,1,326,1,5.9,11426356,1
Rwanda,43,2,0,6.8,13005303,1
Burundi,88,0,0,6.3,11948454,1
Nicaragua,78,118,1,3.5,6638075,1
Romania,297,122,167,10.4,19214608,1
Netherlands,251,88,190,9.4,17141544,1
Dominican Rep.,193,147,9,6.2,10866667,1
Liberia,19,152,2,3.1,5077411,1
Sweden,152,60,186,7.2,10110233,1
Greece,133,112,218,8.3,10413936,1
Sierra Leone,25,3,2,6.7,8004158,1
Laos,62,0,123,6.2,7293542,1
Costa Rica,149,87,11,4.4,5102158,1
Belgium,295,84,212,10.5,11598451,1
Gambia,8,0,1,2.4,2427782,1
Paraguay,213,117,74,7.3,7147553,1
Austria,279,75,191,9.7,9015361,1
Portugal,194,67,339,11,10191409,1
Czech Rep.,361,170,134,11.8,10712481,1
Serbia,283,131,127,9.6,8731081,1
Djibouti,15,44,3,1.1,990447,1
Jamaica,82,97,9,3.4,2963429,1
Bahrain,42,63,7,2,1711057,1
Hungary,234,215,185,11.3,9655983,1
Switzerland,185,100,280,10.2,8665615,1
Norway,169,71,129,6.7,5428594,1
Guinea-Bissau,28,31,21,2.5,1975718,1
Armenia,21,179,11,3.8,2964219,1
Lesotho,82,29,0,2.8,2145194,1
Georgia,52,100,149,5.4,3987805,1
Brunei,31,2,1,0.6,438202,1
Bosnia and Herz.,76,173,8,4.6,3277152,1
Bulgaria,231,252,94,10.3,6939018,1
Mongolia,77,189,8,4.9,3287242,1
Belarus,142,373,42,14.4,9448772,2
Moldova,109,226,18,6.3,4032294,2
Panama,285,104,18,7.2,4326296,2
Albania,89,132,54,4.9,2877239,2
Solomon Islands,56,11,1,1.2,689671,2
Denmark,224,81,278,10.4,5795780,2
Finland,263,133,97,10,5542237,2
Macedonia,106,27,86,3.9,2083000,2
Uruguay,115,35,220,6.6,3475842,2
New Zealand,203,79,175,9.3,4829021,2
Mauritius,98,31,18,2.6,1272140,2
Slovakia,196,293,116,11.4,5460109,2
Fiji,77,35,1,2,897573,2
Botswana,173,35,35,5.4,2359585,2
Ireland,313,118,165,11.4,4947267,2
Croatia,230,87,254,10.2,4100719,2
Namibia,376,3,1,6.8,2548663,3
Vanuatu,21,18,11,0.9,308337,3
Gabon,347,98,59,8.9,2234448,4
Swaziland,90,2,2,4.7,1160000,4
Eq. Guinea,92,0,233,5.8,1410419,4
Trinidad & Tobago,197,156,7,6.4,1400283,5
Lithuania,343,244,56,12.9,2715340,5
Slovenia,270,51,276,10.6,2078989,5
Latvia,281,216,62,10.5,1882408,6
Cyprus,192,154,113,8.2,1208886,7
Estonia,224,194,59,9.5,1326693,7
Cabo Verde,144,56,16,4,557026,7
Montenegro,31,114,128,4.9,628080,8
Kiribati,21,34,1,1,119760,8
Guyana,93,302,1,7.1,787215,9
Suriname,128,178,7,5.6,587541,10
Tonga,36,21,5,1.1,105901,10
Samoa,105,18,24,2.6,198643,13
Malta,149,100,120,6.6,441750,15
Bahamas,122,176,51,6.3,393893,16
Belize,263,114,8,6.8,398845,17
Luxembourg,236,133,271,11.4,627704,18
Sao Tome & Principe,56,38,140,4.2,219844,19
Iceland,233,61,78,6.6,341628,19
Micronesia,62,50,18,2.3,115231,20
Barbados,143,173,36,6.3,287437,22
Tuvalu,6,41,9,1,38806,26
Seychelles,157,25,51,4.1,98453,42
Antigua & Barbuda,102,128,45,4.9,98069,50
St. Lucia,171,315,71,10.1,183774,55
St. Vincent & the Grenadines,120,221,11,6.3,110947,57
Dominica,52,286,26,6.6,72017,92
Nauru,49,0,8,1,10836,92
Grenada,199,438,28,11.9,112614,106
St. Kitts & Nevis,194,205,32,7.7,53264,145
Andorra,245,138,312,12.4,77287,160
Cook Islands,0,254,74,5.9,17567,336
Palau,306,63,23,6.9,18109,381
Uganda,45,9,0,8.3,11817,702
Niue,188,200,7,7,1628,4300